date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,rolling_volatility_30d,umich_sentiment
2011-02-01,98.766811,99.918806,98.705776,99.74334,167194300,0.015882,0.095383,77.5
2011-02-02,99.483934,99.819617,99.430536,99.552605,118323600,-0.001914,0.095919,77.5
2011-02-03,99.377093,99.926392,98.850693,99.773811,145886700,0.00222,0.094873,77.5
2011-02-04,99.811996,100.09427,99.354243,100.056122,134634800,0.002826,0.094833,77.5
2011-02-07,100.277381,101.009772,100.269745,100.681725,112439100,0.006233,0.095449,77.5
2011-02-08,100.773266,101.192871,100.498617,101.139473,99072800,0.004536,0.09573,77.5
2011-02-09,100.864803,101.185225,100.40705,100.910576,146436700,-0.002266,0.096447,77.5
2011-02-10,100.399455,101.063186,100.170578,100.948753,162708500,0.000378,0.096481,77.5
2011-02-11,100.551992,101.681101,100.529106,101.551407,137710300,0.005952,0.096754,77.5
2011-02-14,101.490379,101.879461,101.375947,101.79554,101690700,0.002401,0.096633,77.5
2011-02-15,101.482795,101.635376,100.948758,101.475159,119575400,-0.003152,0.094415,77.5
2011-02-16,101.818469,102.238062,101.612479,102.116005,130183500,0.006295,0.095187,77.5
2011-02-17,101.818446,102.558461,101.726888,102.421143,109810500,0.002984,0.094711,77.5
2011-02-18,102.512704,102.756842,102.276203,102.634773,130002400,0.002084,0.094082,77.5
2011-02-22,101.559051,102.657649,100.300248,100.574898,233116400,-0.020274,0.113451,77.5
2011-02-23,100.513848,100.757986,99.338966,99.956924,227584000,-0.006163,0.115253,77.5
2011-02-24,99.850139,100.277369,98.949895,99.888275,260431400,-0.000687,0.11511,77.5
2011-02-25,100.307879,101.017394,100.246844,100.95636,141686900,0.010636,0.116211,77.5
2011-02-28,101.330188,101.711645,100.994505,101.58194,141585500,0.006177,0.1169,77.5
2011-03-01,101.902378,101.993924,99.857764,99.888275,258565500,-0.016813,0.126535,67.5
2011-03-02,99.750945,100.567268,99.445784,100.101891,200277400,0.002136,0.12658,67.5
2011-03-03,101.009742,101.940497,101.002117,101.826065,176480100,0.017078,0.131532,67.5
2011-03-04,101.749804,101.948169,100.399455,101.063187,277202300,-0.00752,0.133824,67.5
2011-03-07,101.360694,101.589571,99.743321,100.269722,216790400,-0.007882,0.136281,67.5
2011-03-08,100.429924,101.467486,99.995069,101.147064,174615000,0.008712,0.137507,67.5
2011-03-09,100.948715,101.314911,100.399417,101.002113,153806000,-0.001434,0.13767,67.5
2011-03-10,99.941674,100.078993,99.033805,99.132988,301291800,-0.018679,0.148423,67.5
2011-03-11,98.812586,100.178196,98.789699,99.819626,225621800,0.006903,0.149598,67.5
2011-03-14,99.171131,99.544951,98.461615,99.216904,234974100,-0.006056,0.141135,67.5
2011-03-15,96.577236,98.667624,96.508577,98.080177,359585400,-0.011523,0.143805,67.5
2011-03-16,97.767331,98.087765,95.577774,96.264397,468670300,-0.018687,0.145456,67.5
2011-03-17,97.652944,97.95048,96.96632,97.538506,254303700,0.013149,0.151235,67.5
2011-03-18,98.720802,98.751457,97.701723,97.89328,230435400,0.003631,0.151526,67.5
2011-03-21,99.111564,99.617266,98.996623,99.410393,153992600,0.015379,0.158236,67.5
2011-03-22,99.395082,99.525339,98.973654,99.065598,129538600,-0.003474,0.157296,67.5
2011-03-23,98.789766,99.609636,98.322378,99.349121,148603100,0.002858,0.1569,67.5
2011-03-24,99.916065,100.444764,99.356722,100.299179,159129800,0.009517,0.159505,67.5
2011-03-25,100.559726,101.042441,100.291541,100.605698,155642800,0.003051,0.159778,67.5
2011-03-28,100.820276,101.080791,100.329891,100.360535,109762400,-0.00244,0.158858,67.5
2011-03-29,100.276243,101.065457,99.946771,101.034813,129798800,0.006696,0.159998,67.5
2011-03-30,101.563469,102.030869,101.417884,101.73204,135835000,0.006877,0.161054,67.5
2011-03-31,101.601801,101.877644,101.48686,101.594131,132537100,-0.001357,0.160014,67.5
2011-04-01,102.222458,102.498301,101.778045,102.023232,153850100,0.004215,0.160264,69.8
2011-04-04,102.237771,102.42167,101.816355,102.107513,100768900,0.000826,0.160154,69.8
2011-04-05,101.908333,102.544304,101.862361,102.092232,120791500,-0.00015,0.148393,69.8
